,Opening,Opening.1,Title,Production company,Cast and crew,Ref.
67,MAY,8,Valley Girl,Orion Classics / Metro-Goldwyn-Mayer,"Rachel Lee Goldenberg (director/screenplay); Jessica Rothe, Josh Whitehouse, Mae Whitman, Judy Greer",[68]
68,MAY,12,Capone,Vertical Entertainment / Bron Studios,"Josh Trank (director/screenplay); Tom Hardy, Linda Cardellini, Jack Lowden, Noel Fisher, Kyle MacLachlan, Matt Dillon",[69]
69,MAY,13,The Wrong Missy,Netflix,"Tyler Spindel (director); Kevin Barnett, Chris Pappas (screenplay); David Spade, Lauren Lapkus, Geoff Pierson, Sarah Chalke, Molly Sims",[70]
70,MAY,15,Scoob!,Warner Bros. Pictures / Warner Animation Group,"Tony Cervone (director); Adam Sztykiel, Jack Donaldson, Derek Elliott, Matt Lieberman (screenplay); Will Forte, Mark Wahlberg, Jason Isaacs, Gina Rodriguez, Zac Efron, Amanda Seyfried, Kiersey Clemons, Ken Jeong, Tracy Morgan, Frank Welker",[71]
71,MAY,19,Body Cam,Paramount Pictures / Paramount Players,"Malik Vitthal (director); Richmond Riedel (screenplay); Mary J. Blige, Nat Wolff, David Zayas, David Warshofsky, Demetrius Grosse, Anika Noni Rose",[72]
72,MAY,22,The Lovebirds,Netflix / Paramount Pictures / MRC,"Michael Showalter (director); Aaron Abrams, Brendan Gall (screenplay); Issa Rae, Kumail Nanjiani, Paul Sparks, Anna Camp, Kyle Bornheimer",[73]
73,MAY,22,Inheritance,Vertical Entertainment,"Vaughn Stein (director); Matthew Kennedy (screenplay); Lily Collins, Simon Pegg, Chace Crawford, Connie Nielsen, Patrick Warburton, Adam Beach",[74]
74,MAY,22,Survive the Night,Grindstone Entertainment Group,"Matt Eskandari (director); Doug Wolfe (screenplay); Bruce Willis, Chad Michael Murray",[75]
75,MAY,29,The High Note,Focus Features / Working Title Films / Perfect World Pictures,"Nisha Ganatra (director); Flora Greeson (screenplay); Dakota Johnson, Tracee Ellis Ross, Kelvin Harrison Jr., Ice Cube, Zoë Chao, Bill Pullman, Eddie Izzard",[76]
76,JUNE,5,Shirley,Neon / Hulu,"Josephine Decker (director); Sarah Gubbins (screenplay); Elisabeth Moss, Michael Stuhlbarg, Odessa Young, Logan Lerman",[77]
77,JUNE,5,The Last Days of American Crime,Netflix,"Olivier Megaton (director); Karl Gajdusek (screenplay); Édgar Ramírez, Anna Brewster, Michael Pitt, Sharlto Copley",[78]
78,JUNE,5,Becky,YP / Redbox Entertainment,"Jonathan Milott, Cary Murnion (director); Nick Morris, Lane Skye, Ruckus Skye (screenplay); Lulu Wilson, Kevin James, Joel McHale",[79]
79,JUNE,9,Think Like a Dog,Lionsgate,"Gil Junger (director/screenplay); Josh Duhamel, Megan Fox",[80]
80,JUNE,12,Artemis Fowl,Walt Disney Pictures / Disney+ / TriBeCa Productions,"Kenneth Branagh (director); Conor McPherson, Hamish McColl (screenplay); Ferdia Shaw, Lara McDonnell, Josh Gad, Tamara Smart, Nonso Anozie, Colin Farrell, Judi Dench",[81]
81,JUNE,12,Da 5 Bloods,Netflix,"Spike Lee (director/screenplay); Danny Bilson, Paul De Meo, Kevin Willmott (screenplay); Delroy Lindo, Jonathan Majors, Clarke Peters, Norm Lewis, Isiah Whitlock Jr., Mélanie Thierry, Paul Walter Hauser, Jasper Pääkkönen, Jean Reno, Chadwick Boseman",[82]
82,JUNE,12,The King of Staten Island,Universal Pictures / Perfect World Pictures,"Judd Apatow (director/screenplay); Pete Davidson, Dave Sirus (screenplay); Pete Davidson, Marisa Tomei, Bill Burr, Bel Powley, Maude Apatow, Steve Buscemi",[83]
83,JUNE,16,Sniper: Assassin's End,Destination Films,"Kaare Andrews (director); Oliver Thompson (screenplay); Chad Michael Collins, Tom Berenger, Sasha Piltsin, Lochlyn Munro, Ryan Robbins",[84]
84,JUNE,18,You Should Have Left,Universal Pictures / Blumhouse Productions,"David Koepp (director/screenplay); Kevin Bacon, Amanda Seyfried",[85]
85,JUNE,19,Wasp Network,Netflix,"Olivier Assayas (director/screenplay); Penélope Cruz, Édgar Ramírez, Gael García Bernal, Ana de Armas, Wagner Moura",[86]
86,JUNE,19,Feel the Beat,Netflix,"Elissa Down (director); Sofia Carson, Enrico Colantoni, Wolfgang Novogratz",[87]
87,JUNE,19,7500,Amazon Studios,Patrick Vollrath (director/screenplay); Joseph Gordon-Levitt,[88]
88,JUNE,24,Athlete A,Netflix,"Bonni Cohen, Jon Shenk (director)",[89]
89,JUNE,26,Eurovision Song Contest: The Story of Fire Saga,Netflix / Gary Sanchez Productions / Gloria Sanchez Productions,"David Dobkin (director); Will Ferrell, Andrew Steele (screenplay); Will Ferrell, Rachel McAdams, Dan Stevens, Demi Lovato, Pierce Brosnan",[90]
90,JUNE,26,Irresistible,Focus Features / Plan B Entertainment,"Jon Stewart (director/screenplay); Steve Carell, Chris Cooper, Mackenzie Davis, Topher Grace, Natasha Lyonne, Rose Byrne",[91]
91,JUNE,26,My Spy,Amazon Studios / STX Films,"Peter Segal (director); Jon Hoeber, Erich Hoeber (screenplay); Dave Bautista, Chloe Coleman, Kristen Schaal, Ken Jeong",[92]
92,JULY,3,Hamilton,Walt Disney Pictures / Disney+,"Thomas Kail (director); Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry, Christopher Jackson, Daveed Diggs, Okieriete Onaodowan, Anthony Ramos, Jasmine Cephas Jones, Jonathan Groff",[93]
93,JULY,3,Relic,IFC Midnight / Nine Stories Productions / AGBO,"Natalie Erika James (director/screenplay); Christian White (screenplay); Emily Mortimer, Robyn Nevin, Bella Heathcote",[94]
94,JULY,3,Desperados,Netflix,"LP (director); Ellen Rapoport (screenplay); Anna Camp, Robbie Amell, Nasim Pedrad, Lamorne Morris, Heather Graham, Sarah Burns",[95]
95,JULY,10,The Old Guard,Netflix / Skydance Media,"Gina Prince-Bythewood (director); Greg Rucka (screenplay); Charlize Theron, KiKi Layne, Marwan Kenzari, Luca Marinelli, Harry Melling, Veronica Ngo, Matthias Schoenaerts, Chiwetel Ejiofor",[96]
96,JULY,10,Greyhound,Apple TV+ / Stage 6 Films / Bron / FilmNation Entertainment,"Aaron Schneider (director); Tom Hanks (screenplay); Tom Hanks, Stephen Graham, Rob Morgan, Elisabeth Shue",[97]
97,JULY,10,Palm Springs,Neon / Hulu,"Max Barbakow (director); Andy Siara (screenplay); Andy Samberg, Cristin Milioti, Peter Gallagher, J. K. Simmons",[98]
98,JULY,16,Fatal Affair,Netflix,"Peter Sullivan (director/screenplay); Rasheeda Garner (screenplay); Nia Long, Omar Epps, Stephen Bishop, KJ Smith",[99]
99,JULY,16,The Silencing,DirecTV / Saban Films,"Robin Pront (director); Micah Ranum (screenplay); Annabelle Wallis, Hero Fiennes-Tiffin, Nikolaj Coster-Waldau",[100]
100,JULY,24,Animal Crackers,Netflix,"Scott Christian Sava, Tony Bancroft (directors); Scott Christian Sava, Dean Lorey (screenplay); John Krasinski, Emily Blunt, Ian McKellen, Danny DeVito, Sylvester Stallone, Raven-Symoné, Patrick Warburton",[101]
101,JULY,24,The Kissing Booth 2,Netflix,"Vince Marcello (director/screenplay); Jay Arnold (screenplay); Joey King, Joel Courtney, Jacob Elordi, Maisie Richardson-Sellers, Taylor Perez, Molly Ringwald",[102]
102,JULY,24,The Rental,IFC Films,"Dave Franco (director/screenplay); Joe Swanberg (screenplay); Dan Stevens, Alison Brie, Sheila Vand, Jeremy Allen White, Toby Huss",[103]
103,JULY,28,Deep Blue Sea 3,Warner Bros.,"John Pogue (director); Dirk Blackman (screenplay); Tania Raymonde, Nathaniel Buzolic, Emerson Brooks, Bren Foster",[104]
104,JULY,31,Black Is King,Walt Disney Pictures / Disney+,"Beyoncé, Emmanuel Adjei, Blitz Bazawule, Ibra Ake, Jenn Nkiru, Jake Nava, Pierre Debusschere, Dikayl Rimmasch (directors); Beyoncé, Yrsa Daley-Ward, Clover Hope, Andrew Morro (screenplay); Beyoncé",[105]
105,JULY,31,Summerland,IFC Films,"Jessica Swale (director/screenplay); Gemma Arterton, Gugu Mbatha-Raw, Penelope Wilton, Tom Courtenay",[106]
106,JULY,31,She Dies Tomorrow,Neon / Rustic Films,"Amy Seimetz (director/screenplay); Kate Lyn Sheil, Jane Adams, Kentucker Audley, Katie Aselton, Adam Wingard",[107]
107,AUGUST,6,An American Pickle,HBO Max / Point Grey Pictures,"Brandon Trost (director); Simon Rich (screenplay); Seth Rogen, Sarah Snook",[108]
108,AUGUST,7,The Tax Collector,RLJE Films,"David Ayer (director/screenplay); Bobby Soto, Shia LaBeouf, Cinthya Carmona, George Lopez",[109]
109,AUGUST,7,Waiting for the Barbarians,Samuel Goldwyn Films,"Ciro Guerra (director); J. M. Coetzee (screenplay); Mark Rylance, Johnny Depp, Robert Pattinson. Gana Bayarsaikhan, Greta Scacchi",[110]
110,AUGUST,14,Project Power,Netflix,"Henry Joost, Ariel Schulman (director); Mattson Tomlin (screenplay); Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Machine Gun Kelly, Allen Maldonado, Amy Landecker, Courtney B. Vance",[111]
