,Opening,Opening.1,Title,Director,Cast,Genre,Studio,Ref.
31,APR,14.0,Begum Jaan,Srijit Mukherji,"Vidya Balan, Ila Arun, Gauahar Khan, Sumit Nijhawan & Chunky Pandey",Period drama,"Vishesh Films, Shree Venkatesh Films & Play Entertainments",[65][66]
32,APR,14.0,Romeo-N-Bullet,Aditya Kumar,"Vije Bhatia, Rishi Verma, Mohit Baisla, Raj Kumar",Romance,Jay Shree Ram Productions,[67][68]
33,APR,21.0,Noor,Sunhil Sippy,"Sonakshi Sinha, Purab Kohli & Manish Chaudhary",Comedy/drama,T-Series & Abundantia Entertainment,[69][70]
34,APR,21.0,Ek Thi Rani Aisi Bhi,Gulbahar Singh,"Hema Malini, Vinod Khanna, Sachin Khedekar",Biopic,Rajmata Vijayaraje Scindia Smirit Trust,[71]
35,APR,21.0,Maatr,Ashtar Sayed,Raveena Tandon,Thriller/drama,CDB Musical Production,[72][73]
36,APR,21.0,Ajab Singh Ki Gajab Kahani,Rishi Prakash Mishra,"Yashpal Sharma, Ajay Kumar Singh, Rajesh Jais",Thriller/drama,Shree Triveni Films InternationalBasmati Creations,[74]
37,MAY,5.0,Mantostaan,Rahat Kazmi,"Raghubir Yadav, Virendra Saxena & Sonal Sehgal",Anthology/drama,Rahat Kazmi FilmsTariq Kan ProductionsAaditya Pratap Singh Entertainments,[75]
38,MAY,12.0,Meri Pyaari Bindu,Akshay Roy,Ayushmann Khurrana & Parineeti Chopra,Romance,Yash Raj Films,[76]
39,MAY,12.0,Sarkar 3,Ram Gopal Varma,"Amitabh Bachchan, Jackie Shroff, Amit Sadh & Yami Gautam",Political crime thriller,"Alumbra Entertainment, Wave Cinemas, Company Product & Amitabh Bachchan Corporation",[77]
40,MAY,19.0,Half Girlfriend,Mohit Suri,Arjun Kapoor & Shraddha Kapoor,Romance/drama,ALT Entertainment,[78][79]
41,MAY,19.0,Jattu Engineer,"Gurmeet Ram Rahim Singh, Honeypreet Insan","Gurmeet Ram Rahim Singh, Sukhottam Insan",Comedy,Hakikat Entertainment Pvt. Ltd.,[80][81]
42,MAY,19.0,Hindi Medium,Saket Chaudhary,Irrfan Khan & Saba Qamar,Comedy/drama,T-Series & Maddock Films,[82][83]
43,MAY,26.0,Chakallaspur,Rajnish Jaiswal,"Mukesh Manas, Urmilaa Mahanta",Romance/drama,Kiran Jaiswal Productions,[84]
44,MAY,26.0,Sachin: A Billion Dreams,James Erskine,Sachin Tendulkar,Biopic,200 NotOut Productions,[85]
45,MAY,26.0,Thodi Thodi Si Manmaaniyan,Aditya Sarpotdar,"Arsh Sehrawat, Shrenu Parikh, Shilpa Tulaskar & Mukesh Tiwari",Romance/drama,"NH 8 Production, Jumping Tomato & Marketing Pvt Ltd",[86][87]
46,JUN,2.0,A Death in the Gunj,Konkona Sen Sharma,"Vikrant Massey, Ranvir Shorey, Kalki Koechlin, Tillotama Shome, Gulshan Devaiah, Tanuja, Om Puri, Jim Sarbh, Arya Mitra Sharma",Crime/drama,"MacGuffin Pictures, Studioz IDrream & Moh Maya Films (presenter)",[88]
47,JUN,2.0,Hanuman: Da' Damdaar,Ruchi Narain,"Salman Khan, Raveena Tandon & Kunal Khemu",Animation,R.A.T Films (IP: Percept Pictures),[89]
48,JUN,2.0,Sweetiee Weds NRI,Hasnain Hyderabadwala,"Himansh Kohli, Zoya Afroz & Darshan Jariwala",Romance/comedy,Asmiy Entertainment and Grand Motion Picture,[90]
49,JUN,2.0,Dobaara: See Your Evil,Prawaal Raman,Huma Qureshi & Saqib Saleem,Horror,"Intrepid Pictures, B4U Films, Zahhak Films Limited & Relativity Media",[91]
50,JUN,2.0,Flat 211,Sunil Sanjan,Jayesh Raj & Sonal Singh,Suspense/Mystery,Ajha Global Entertainment,[92]
51,JUN,2.0,Dear Maya,Sunaina Bhatnagar,Manisha Koirala,Thriller/drama,Bake My Cake Films,[93]
52,JUN,9.0,Raabta,Dinesh Vijan,"Sushant Singh Rajput, Kriti Sanon & Jim Sarbh",Romance/thriller,Maddock Films,[94][95]
53,JUN,9.0,Behen Hogi Teri,Ajay K Pannalal,Rajkummar Rao & Shruti Haasan,Romance/comedy,OddBall Motion Pictures,[96]
54,JUN,9.0,Bachche Kachche Sachche,Ravi Sadasiv,"Ekta Singh, Ashish Vidyarthi & Mukesh Tiwari",Children/drama,,[97][98]
55,JUN,9.0,Love You Family,Sachindra Sharma,"Salman Yusuff Khan, Aksha Pardasany & Shakti Kapoor",Drama,Khushi Motion Pictures,[99][100]
56,JUN,9.0,G Kutta Se,Rahul Dahiya,Rajbeer Singh & Neha Chauhan,Drama,SFE International Full Frame Entertainment Pvt. Ltd.,[101][102]
57,JUN,16.0,Bank Chor,Bumpy,"Riteish Deshmukh, Vivek Oberoi & Rhea Chakraborty",Comedy/Thriller,Y-Films,[103]
58,JUN,23.0,Tubelight,Kabir Khan,"Salman Khan, Sohail Khan & Zhu Zhu",Action/drama,Salman Khan Films & Kabir Khan Films,[104][105]
59,JUN,30.0,Ek Haseena Thi Ek Deewana Tha,Suneel Darshan,"Shiv Darshan, Natasha Fernandez & Upen Patel",Romance,Shree Krishna International,[106]
60,JUL,7.0,Mom,Ravi Udyawar,"Sridevi, Akshaye Khanna, Sajal Ali & Nawazuddin Siddiqui",Thriller/drama,MAD Films & Third Eye Pictures,[107]
