,Opening,Opening.1,Title,Director,Cast,Production house,Ref.
83,OCT,12,Helicopter Eela,Pradeep Sarkar,KajolRiddhi SenNeha DhupiaTota Roy Choudhury,"Pen India Limited, Ajay Devgn FFilms",[113]
84,OCT,12,FryDay,Abhishek Dogra,GovindaVarun Sharma,"Inbox Pictures, PVR Pictures",[114]
85,OCT,12,Tumbbad,Rahi Anil Barve,Soham ShahHarish KhannaAnita Date,Color Yellow Productions,[115]
86,OCT,18,Namaste England,Vipul Shah,Arjun KapoorParineeti Chopra,"Pen India Limited, Reliance Entertainment",[116][117]
87,OCT,18,Badhaai Ho,Amit Ravindernath Sharma,Ayushman KhurranaSanya Malhotra,Junglee Pictures,[118]
88,OCT,26,Baazaar,Gauravv K. Chawla,Saif Ali KhanRadhika ApteChitrangada SinghDenzil SmithRohan MehraSonia Balani,"Emmay Entertainment, Kayta Production",[119]
89,OCT,26,5 Weddings,Namrata Singh Gujral,Rajkummar RaoNargis FakhriBo DerekCandy ClarkAnneliese van der PolSuvinder Vicky,Uniglobe Entertainment,[120]
90,OCT,26,Kaashi in Search of Ganga,Dhiraj Kumar,Sharman JoshiAishwarya DevanGovind NamdevManoj JoshiManoj PahwaAkhilendra Mishra,Insite India,[121]
91,OCT,26,Dassehra,Manish Vatsalya,Neil Nitin MukeshTina DesaiGovind Namdev,Rash Production,[122]
92,NOV,8,Thugs of Hindostan,Vijay Krishna Acharya,Amitabh BachchanAamir KhanFatima Sana ShaikhKatrina KaifMohammed Zeeshan Ayyub,Yash Raj Films,[123]
93,NOV,16,Mohalla Assi,Chandraprakash Dwivedi,Sunny DeolSakshi TanwarRavi KishanSaurabh ShuklaMukesh TiwariRajendra GuptaMithilesh Chaturvedi,Crossword Entertainment Pvt. Ltd.,[124]
94,NOV,16,Pihu,Vinod Kapri,Myra VishwakarmaPrerna Sharma,"RSVP Movies, Roy Kapur Films",[125]
95,NOV,16,Hotel Milan,Vishal Mishra,Kunaal Roy KapurKarishma SharmaZeishan QuadriJaideep AhlawatRajesh SharmaZakir Hussain,AD Films,[126]
96,NOV,21,Tigers,Danis Tanović,Emraan HashmiKhalid AbdallaGeetanjali ThapaSupriya Pathak,"Sikhya Entertainment, A.S.A.P. Films",[127]
97,NOV,23,Bhaiaji Superhit,Neerraj Pathak,Sunny DeolPreity ZintaAmeesha PatelArshad WarsiShreyas TalpadeEvelyn Sharma,Metro Movies,[128]
98,NOV,29,2.0,S Shankar,RajnikanthAmy JacksonAkshay KumarAdil HussainSudhanshu Pandey,"Lyca Productions, Dharma Productions",[129]
99,NOV,30,Rajma Chawal,Leena Yadav,Rishi KapoorAnirudh TanwarAmyra Dastur,"SaarthiE, Netflix",[130]
100,DEC,7,Kedarnath,Abhishek Kapoor,Sushant Singh RajputSara Ali Khan,"RSVP Movies, Guy in the Sky Pictures",[131][132]
101,DEC,14,Ascharyachakit!,Samit Kakkad,Priyanka BoseVaibhav Raj GuptaAnkit RaajAnangsha BiswasSantosh Juvekar,"Yoodlee films, Samit Kakkad Films",[133]
102,DEC,21,Zero,Aanand L. Rai,Shah Rukh KhanKatrina KaifAnushka SharmaTigmanshu Dhulia,"Red Chillies Entertainment, Colour Yellow Productions",[134][135]
103,DEC,28,Simmba,Rohit Shetty,Ranveer SinghSara Ali KhanSonu Sood,"Dharma Productions, Reliance Entertainment",[136][137]
