,Rank,Title,Production Company,Distributor,Worldwide Gross,Ref.,Opening,Opening.1,Director,Cast,Studio (production house)
67,,Jaoon Kahan Bata Ae Dil,,,,[102],JUN,21.0,Aadish Keluskar,Khushboo UpadhyayRohit Kokate,"Humara Movie, Netflix"
68,,Kabir Singh,,,,[103][104][105][106],JUN,21.0,Sandeep Vanga,Shahid KapoorKiara AdvaniSoham MajumdarArjan BajwaKamini KaushalNikita DuttaAmit SharmaKunal ThakurSwati SethAnusha SampathSuresh Oberoi,"T-Series, Cine1 Studios"
69,,Article 15,,,,[107],JUN,28.0,Anubhav Sinha,Ayushmann KhurranaIsha TalwarNassarManoj PahwaSayani GuptaKumud MishraMohammed Zeeshan Ayyub,"Benaras Media Works, Zee Studios"
70,,,,,,,JUN,,,,
71,,,,,,,JUN,,,,
72,,,,,,,JUN,,,,
73,,Malaal,,,,[108],JUL,5.0,Mangesh Hadawale,Meezaan JafferySharmin Segal,"Bhansali Productions, T-Series"
74,,One Day: Justice Delivered,,,,[109],JUL,5.0,Ashok Nanda,Anupam KherEsha GuptaKumud Mishra,A Cinema Friday International Production
75,,Hume Tumse Pyaar Kitna,,,,[110],JUL,5.0,Lalit Mohan,Karanvir BohraPriya BanerjeeSamir KochharMahesh Balraj,Belvie Productions
76,,Marudhar Express,,,,[111],JUL,5.0,Vishal Mishra,Kunaal Roy KapurTara Alisha BerryRajesh Sharma,"Raywings Entertainment, Atharva Motion Pictures"
77,,Super 30,,,,[112],JUL,12.0,Vikas Bahl,Hrithik RoshanMrunal ThakurAmit SadhPankaj Tripathi,"Phantom Films, Nadiadwala Grandson Entertainment, Reliance Entertainment, HRX Films"
78,,Family of Thakurganj,,,,[113],JUL,19.0,Manoj K. Jha,Jimmy SheirgillMahie GillSaurabh ShuklaSudhir PandeySupriya PilgaonkarPavan MalhotraMukesh TiwariNandish SinghYashpal SharmaPranati Rai PrakashRaj ZutshiSalil AcharyaManoj Pahwa,Lovely World Entertainment
79,,Jhootha Kahin Ka,,,,[114],JUL,19.0,Smeep Kang,Rishi KapoorOmkar KapoorSunny SinghJimmy SheirgillLillete DubeyManoj Joshi,Soham Rockstar Entertainment
80,,Judgementall Hai Kya,,,,[115][116][117],JUL,26.0,Prakash Kovelamudi,Kangana RanautRajkummar RaoJimmy SheirgillAmyra DasturAmrita Puri,Balaji Motion Pictures
81,,Arjun Patiala,,,,[118][119],JUL,26.0,Rohit Jugraj,Diljit DosanjhKriti SanonVarun SharmaRonit Roy,"Maddock Films, T-Series"
82,,Khandaani Shafakhana,,,,[120],AUG,2.0,Shilpi Dasgupta,Sonakshi SinhaVarun SharmaAnnu KapoorBadshah,T-Series
83,,Barot House,,,,[121],AUG,7.0,Bugs Bhargava,Amit SadhManjari Fadnis,"Dhirajj Walks Of Art, Faizee Productions, Ten Years Younger Productions, ZEE5"
