,Opening,Opening.1,Title,Genre,Director,Cast,Source
107,NOV,15.0,Rajjo,Romance,Vishwas Patil,"Kangana Ranaut, Paras Arora, Mahesh Manjrekar, Prakash Raj, Jaya Prada",
108,NOV,15.0,Goliyon Ki Raasleela Ram-Leela,Romance/Drama,Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Richa Chadda, Supriya Pathak[110]",
109,NOV,22.0,Gori Tere Pyaar Mein,Romance/Comedy,Punit Malhotra,"Imran Khan, Kareena Kapoor, Shraddha Kapoor, Anupam Kher[111]",
110,NOV,22.0,Singh Saab The Great,Action,Anil Sharma,"Sunny Deol, Amrita Rao, Johny Lever, Urvashi Rautela[112]",
111,NOV,29.0,Bullett Raja,Comedy/Crime/Romance,Tigmanshu Dhulia,"Saif Ali Khan, Sonakshi Sinha, Jimmy Sheirgill, Vidyut Jamwal, Chunky Pandey[113]",
112,DEC,6.0,R... Rajkumar,Action/Romance,Prabhudeva,"Shahid Kapoor, Sonakshi Sinha, Sonu Sood, Asrani, Ashish Vidyarthi[114]",
113,DEC,13.0,Jackpot,Thriller/Comedy,Kaizad Gustad,"Sachiin J Joshi, Naseeruddin Shah, Sunny Leone[115]",
114,DEC,13.0,What the Fish,Drama,Gurmmet Singh,"Dimple Kapadia, Manu Rishi, Manjot Singh, Anand Tiwari",
115,DEC,20.0,Dhoom 3,Action,Vijay Krishna Acharya,"Aamir Khan, Abhishek Bachchan, Katrina Kaif, Uday Chopra, Jackie Shroff",
116,20,,,,,,
