,Opening,Opening.1,Title,Director,Cast,Studio (production house),Ref.
57,AUG,6.0,Pareeksha,Prakash Jha,Adil HussainPriyanka BoseSanjay Suri,"Prakash Jha Productions, ZEE5",[72]
58,AUG,12.0,Gunjan Saxena: The Kargil Girl,Sharan Sharma,Janhvi KapoorPankaj TripathiAngad BediVineet Kumar SinghManav Vij,"Dharma Productions, Zee Studios, Netflix",[73]
59,AUG,14.0,Khuda Haafiz,Faruk Kabir,Vidyut JammwalShivaleeka OberoiAnnu KapoorShiv PandittAahana Kumra,"Panorama Studios, Disney+ Hotstar",[74]
60,AUG,21.0,Mee Raqsam,Baba Azmi,Naseeruddin ShahDanish HusainAditi SubediShradha KaulRakesh Chaturvedi,"AZMI Pictures, ZEE5",[75]
61,AUG,21.0,Class of '83,Atul Sabharwal,Bobby DeolBhupendra JadawatHitesh BhojrajAnup SoniJoy SenguptaSameer ParanjapeNinad MahajaniPrithvik Pratap,"Red Chillies Entertainment, Netflix",[76]
62,AUG,28.0,Sadak 2,Mahesh Bhatt,Sanjay DuttPooja BhattAlia BhattAditya Roy Kapur,"Vishesh Films, Fox Star Studios, Disney+ Hotstar",[77]
63,AUG,28.0,Ram Singh Charlie,Nitin Kakkar,Kumud MishraDivya DuttaAkarsh KhuranaFarrukh SeyerSalima RazaRohit Rokhade,"Little Too Much Productions, Sony Liv",[78]
64,SEP,5.0,Atkan Chatkan,Shiv Hare,Sachin ChaudharyYash RaneTamanna Dipak,"Lokaa Entertainment, ZEE5",[79]
65,SEP,9.0,Cargo,Arati Kadav,Vikrant MasseyShweta Tripathi,"Fundamental Pictures, Electric Films, Netflix",[80]
66,SEP,11.0,Tiki Taka,Parambrata Chatterjee,Emona EnabuluParambrata ChattopadhyayRitabhari ChakrabortySaswata Chatterjee,"Ratanshree Nirman, Ten Films, Roadshow Films, ZEE5",[81]
67,SEP,18.0,Dolly Kitty Aur Woh Chamakte Sitare,Alankrita Shrivastava,Konkona Sen SharmaBhumi PednekarAmol ParasharAamir BashirKubbra SaitKaran KundraVikrant MasseyMushtaq Khan,"Balaji Motion Pictures, ALT Entertainment, Netflix",[82]
68,SEP,18.0,London Confidential,Kanwal Sethi,Mouni RoyPurab KohliKulraj RandhawaSagar AryaParvesh RanaJas BinagDiljohn SinghKiren Jog,"JAR Pictures, ZEE5",[83]
69,SEP,21.0,Halahal,Randeep Jha,Sachin KhedekarBarun Sobti,"Eros International, Eros Now",[84]
70,21,,,,,,
71,OCT,2.0,Khaali Peeli,Maqbool Khan,Ishaan KhatterAnanya PandayJaideep Ahlawat,"Zee Studios, Offside Entertainment, Zee Plex, ZEE5",[85]
72,OCT,2.0,Serious Men,Sudhir Mishra,Nawazuddin SiddiquiAakshath DasShweta Basu PrasadNassarIndira Tiwari,"Bombay Fables, Cineraas Entertainment, Netflix",[86]
73,OCT,2.0,Bahut Hua Samman,Ashish R Shukla,Raghav JuyalAbhishek ChauhanSanjay MishraRam KapoorNidhi SinghNamit DasFlora Saini,"Yoodlee films, Disney+ Hotstar",[87]
74,OCT,9.0,Ginny Weds Sunny,Puneet Khanna,Yami GautamVikrant Massey,"Soundrya Production, Netflix",[88]
75,OCT,21.0,Comedy Couple,Nachiket Samant,Saqib SaleemShweta Basu Prasad,"Yoodlee films, ZEE5",[89]
76,OCT,29.0,Taish,Bejoy Nambiar,Pulkit SamratKriti KharbandaJim SarbhHarshvardhan RaneAnkur RatheeZoa MoraniSanjeeda SheikhNeha SharmaAditya PancholiAmrita Puri,"Ease My Trip, Getaway Pictures Presentation, A Crayon Films Production, ZEE5",[90]
77,OCT,30.0,Kaali Khuhi,Terrie Samundra,Shabana AzmiSatyadeep MishraRiva AroraSanjeeda Sheikh,Netflix,[91]
78,NOV,9.0,Laxmmi Bomb,Raghava Lawrence,Akshay KumarKiara Advani,"Cape of Good Films, Fox Star Studios, Shabinaa Entertainment, Tushar Entertainment House, Disney+ Hotstar",[92]
79,NOV,12.0,Ludo,Anurag Basu,Abhishek BachchanRajkummar RaoAditya Roy KapurFatima Sana ShaikhSanya MalhotraPankaj TripathiRohit Suresh SarafPearle MaaneyAsha NegiInayat VermaShalini Vats,"T-Series, Anurag Basu Productions, Netflix",[93]
80,NOV,13.0,Namumkin Tere Bin Jeena,Hidayat Khan,Anmol ChopraChristeenaBiju Rehana Khan,"Trisha Raj Films Pvt.Ltd,Zaid Corporation Company,Shamshad Pathan Films",[94]
81,NOV,13.0,Chhalaang,Hansal Mehta,Rajkummar RaoNushrat Bharucha,"T-Series, Luv Films, Ajay Devgn FFilms, Amazon Prime Video",[95]
82,NOV,13.0,Suraj Pe Mangal Bhari,Abhishek Sharma,Manoj BajpayeeDiljit DosanjhFatima Sana Shaikh,"Zee Studios, Essel Vision Productions",[96]
83,NOV,20.0,Raat Baaki Hai,Avinash Das,Anup SoniPaoli DamRahul Dev,ZEE5,[97]
84,DEC,11.0,Durgavati,G. Ashok,Bhumi PednekarArshad Warsi,"Abundantia Entertainment, T-Series, Cape of Good Films, Amazon Prime Video",[95]
85,DEC,25.0,Coolie No. 1,David Dhawan,Varun DhawanSara Ali Khan,"Pooja Entertainment, Amazon Prime Video",[95]
